userID,recommended_itemIDs
1,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
3,1196  3471  3147  1247  260  1231  1957  750  2355  3623
11,1088  587  1552  3257  1242  3699  357  3785  2407  3527
29,3753  318  2683  1213  1193  1242  1088  2336  3408  2617
31,2683  2761  1517  1584  377  3751  2355  3210  1912  2706
33,2657  924  1270  1527  1196  457  1077  260  3039  474
35,589  2028  551  1234  1028  2161  1291  2193  1275  2140
51,1394  1876  2858  2243  1959  3785  2064  2153  1079  587
53,2858  260  908  904  1219  912  1035  930  903  1196
55,1197  912  1196  1198  1291  923  913  1242  1653  1285
57,1198  1387  2115  3527  1200  1291  2944  2490  165  3702
67,2858  2396  1196  2710  919  1393  1148  266  2115  1374
73,920  1247  357  1358  912  1556  733  750  1215  2336
79,2987  2150  1690  1028  1090  913  3752  968  912  1405
85,2396  2997  3543  2908  2987  2722  2336  2355  1347  1784
89,3052  357  1784  587  539  2289  858  788  2100  3524
91,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
97,589  858  1200  1214  111  788  1222  2124  1408  1035
117,919  953  2028  377  590  1287  912  1207  2369  1035
119,2628  2617  673  653  2100  329  2193  1777  2105  1275
125,1682  2761  2908  1148  3253  3285  1387  3108  551  2599
127,1215  1291  1198  2115  1261  733  2005  1275  2890  457
129,1580  1270  733  1552  1246  1586  111  1682  2011  1088
137,515  1094  3418  2706  2692  2826  1172  3168  593  3070
139,2997  2700  2762  2987  3793  1374  3785  3354  2502  153
157,3793  2288  3753  95  2706  2628  2502  1556  1912  153
159,920  3809  1035  3697  1200  919  1556  3033  1732  3408
161,2028  1198  1193  1882  3717  1242  3683  1912  1917  1291
173,1196  260  3178  1784  2324  3253  1242  3793  920  3238
179,1136  913  3386  1080  2028  2890  2355  912  2916  1645
181,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
185,589  3793  3702  3751  2021  1196  2797  592  2005  2193
187,3952  1401  1405  1406  1407  1408  1409  1412  1413  1414
189,1196  1784  2916  2353  923  3527  2243  1682  1396  434
199,1198  924  1291  1222  1148  923  2713  1371  2617  185
201,150  1580  2699  2248  648  2628  2502  1591  1381  2617
209,260  1197  1304  1917  1234  2355  1957  913  1959  1196
213,260  919  1196  2300  316  1198  150  1222  1028  778
229,2028  2791  3450  2021  3868  1278  1965  673  1088  3424
231,2021  1732  153  266  2011  788  2718  2872  2302  3527
235,2028  1200  1917  1234  1912  1261  780  1214  838  2643
259,260  589  1196  3753  1215  2968  1527  1275  3052  3440
261,2987  318  858  2858  1748  367  3418  968  288  111
263,2396  2706  1278  104  3396  231  2300  3268  1962  3543
267,2028  1608  457  3256  2058  1372  2353  1500  1275  733
